"region","intercept","ar","gmst","varintercept*intercept","varintercept*ar","varintercept*gmst","varar*intercept","varar*ar","varar*gmst","vargmst*intercept","vargmst*ar","vargmst*gmst","varerror"
"eu",0.00631376918866765,0.0733197996573295,1.24255672733299,0.00152359015017647,-0.000219419737667292,-0.00187855462587587,-0.000219419737667292,0.00471266378043447,-0.00539508511226469,-0.00187855462587587,-0.00539508511226469,0.0138451212729916,0.154880712505849
"rus+",0.0594518402035624,0.0603362600887999,1.76647888708263,0.00134116757603533,-0.000424390301485202,-0.00113075864706053,-0.000424390301485202,0.00344060810703859,-0.00553702259355814,-0.00113075864706053,-0.00553702259355814,0.0154417168305486,0.131899562912458
"usa",-0.0288470842585483,0.0463100425078486,1.18194050533393,0.000812322973359864,-7.29982346257328e-05,-0.00106597677252837,-7.29982346257328e-05,0.00378941634226571,-0.00390442298426967,-0.00106597677252837,-0.00390442298426967,0.00813211914610613,0.082990298770928
"chi+",-0.00772184825738964,0.189833509431695,1.01013592838137,0.000369394617796484,-6.2908152754857e-05,-0.00044805797289305,-6.2908152754857e-05,0.00328142012469589,-0.00365594055192864,-0.00044805797289305,-0.00365594055192864,0.0059389469345809,0.0376809112319541
"ind+",-0.0199069683104075,0.199644426174203,0.70889670973908,0.000232940402096195,-1.84753190282011e-05,-0.000313737136210649,-1.84753190282011e-05,0.0033236537014077,-0.00250627395043448,-0.000313737136210649,-0.00250627395043448,0.00306978099046041,0.023828919996631
"afr",-0.0201641761608246,0.12270371370089,0.94932953006665,0.00023324114203568,3.6792329563129e-05,-0.000364499465449617,3.6792329563129e-05,0.00384672924790429,-0.00384314873165139,-0.000364499465449617,-0.00384314873165139,0.0050197028648474,0.0238341943006973
"lat",-0.00483904008634031,0.231832544034492,0.651608800187726,0.000231107456453899,-3.59193303715309e-05,-0.00029702746434652,-3.59193303715309e-05,0.00406284652929046,-0.00313989073751562,-0.00029702746434652,-0.00313989073751562,0.00359609578526681,0.0236193447700725
"oth",0.0175272722688602,0.0119899924460573,1.60418424444153,0.000670274006602144,-0.000202102533456123,-0.000640079318038786,-0.000202102533456123,0.00279338171407485,-0.0039061129957444,-0.000640079318038786,-0.0039061129957444,0.0087845130573683,0.0671002756807255
"global",-0.00491146567587753,0.314882016871137,0.693499792032192,0.000182471234345181,5.93982660540034e-05,-0.000343727552534539,5.93982660540034e-05,0.00546487958553371,-0.00541493300283513,-0.000343727552534539,-0.00541493300283513,0.00636680666133819,0.0169317123626891
